© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RAB GEFs exchange GTP for GDP on RABs	1.21E00	6.67E-02	-1.633	DENND1A,MADD,RAB1B,RAB6B,RAB8A,TRAPPC9	
DNA Damage Bypass	1.21E00	8.33E-02	0.000	ISG15,MAD2L2,UBA7,USP10	
Atherosclerosis Signaling	1.21E00	5.88E-02	-2.646	ALOX12,CD36,CLU,PDGFA,PLA2G12A,PRDX6,SELP,TGFB1	
Sensory processing of sound by inner hair cells of the cochlea	1.2E00	7.25E-02	-2.236	ACTB,ACTG1,MYH9,MYO1C,STX1A	
Ceramide Signaling	1.19E00	6.59E-02	-1.342	PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,SPHK1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	1.19E00	6.14E-02	NaN	CTSG,ELANE,FGF2,MPO,PRTN3,TGFB1,TNFSF10	
Regulation of TP53 Activity through Acetylation	1.19E00	1E-01	NaN	CHD3,GATAD2A,KAT6A	
Tryptophan Degradation X (Mammalian, via Tryptamine)	1.19E00	1E-01	NaN	AKR1A1,ALDH9A1,SMOX	
Antimicrobial peptides	1.19E00	8.16E-02	1.000	CLU,CTSG,ELANE,PRTN3	
iNOS Signaling	1.19E00	8.16E-02	NaN	CALM3,IRAK2,JAK1,MAPK1	
Coronavirus Pathogenesis Pathway	1.18E00	5.21E-02	-0.333	ADAM9,ATF4,CASP3,FURIN,HDAC5,JAK1,MAPK1,MAVS,RN7SL1,SERPINE1,TGFB1	
Role of PKR in Interferon Induction and Antiviral Response	1.18E00	5.8E-02	-2.828	CASP3,HSP90B1,HSPA5,JAK1,MAPK1,MAVS,PDGFA,TAB2	
GM-CSF Signaling	1.18E00	7.14E-02	-2.236	CISH,MAPK1,PIK3CB,PRKCB,RAF1	
Carnitine metabolism	1.16E00	1.43E-01	NaN	CPT1A,PRKAB2	
LGI-ADAM interactions	1.16E00	1.43E-01	NaN	DLG4,STX1A	
EIF2 Signaling	1.16E00	5.04E-02	-0.707	ACTB,AGO2,ATF4,EIF2B1,EIF4A3,EIF4G2,GSK3B,HSPA5,IGF1R,MAPK1,PIK3CB,RAF1	
Signaling by TGFBR3	1.16E00	8E-02	-2.000	AGO2,ARRB1,FGF2,TGFB1	
nNOS Signaling in Skeletal Muscle Cells	1.16E00	8E-02	NaN	CALM3,DAG1,ITPR1,ITPR2	
Glioma Invasiveness Signaling	1.16E00	7.04E-02	-2.000	F2R,ITGB3,MAPK1,PIK3CB,RHOBTB1	
Signaling by ALK	1.15E00	9.68E-02	NaN	IRS1,PIK3CB,SRC	
Endosomal Sorting Complex Required For Transport (ESCRT)	1.15E00	9.68E-02	NaN	CHMP2A,CHMP6,VPS37B	
Sonic Hedgehog Signaling	1.15E00	9.68E-02	NaN	GSK3B,PRKAR1B,PRKAR2B	
HOTAIR Regulatory Pathway	1.14E00	5.45E-02	-1.414	AGO2,CDKN1A,H3-3A,JARID2,KMT2C,PIK3CB,ROCK2,STK38,TGFB1	
Transcriptional regulation by RUNX2	1.13E00	7.84E-02	1.000	CDKN1A,MAPK1,SRC,YES1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.13E00	7.84E-02	NaN	CDKN1A,HIPK2,WEE1,YWHAH	
FAT10 Cancer Signaling Pathway	1.13E00	7.84E-02	-1.000	GSK3B,MAD2L2,SMAD2,TGFB1	
Immunogenic Cell Death Signaling Pathway	1.12E00	6.32E-02	0.000	ATF4,CASP3,HSP90B1,HSPA5,MLKL,PANX1	
Toll-like Receptor Cascades	1.12E00	9.38E-02	NaN	CD36,DNM1,DNM3	
RIPK1-mediated regulated necrosis	1.12E00	9.38E-02	NaN	FLOT2,MLKL,TNFSF10	
COPII-mediated vesicle transport	1.12E00	6.85E-02	-0.447	PPP6R1,RAB1B,SEC13,TRAPPC9,YKT6	
Signaling by FGFR2	1.12E00	6.85E-02	-2.236	BRAF,FGF2,MAPK1,POLR2E,SRC	
Macrophage Alternative Activation Signaling Pathway	1.11E00	5.21E-02	-2.646	ATF4,CD36,H3-3A,IRS1,JAK1,LAMTOR1,MAPK1,PIK3CB,TGFB1,THBS1	
Regulation of cholesterol biosynthesis by SREBP (SREBF)	1.11E00	1.33E-01	NaN	INSIG1,SREBF2	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	1.11E00	1.33E-01	NaN	PTGS1,TBXAS1	
Signaling by FGFR1	1.11E00	7.69E-02	-2.000	BRAF,FGF2,MAPK1,SRC	
Apoptotic execution phase	1.11E00	7.69E-02	-2.000	CASP3,LMNA,SATB1,STK24	
TNFR1 Signaling	1.11E00	7.69E-02	-2.000	CASP2,CASP3,MADD,MAP4K2	
Bladder Cancer Signaling	1.11E00	5.88E-02	NaN	CDKN1A,EGF,FGF2,HDAC5,MAPK1,RAF1,THBS1	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.09E00	5.15E-02	NaN	BRAF,EGF,FGF2,GSK3B,JAK1,MAPK1,PIK3CB,RAF1,SMAD2,TGFB1	
TGF-β Signaling	1.09E00	6.19E-02	-1.633	MAPK1,RAF1,SERPINE1,SKI,SMAD2,TGFB1	
Activation of Matrix Metalloproteinases	1.09E00	9.09E-02	NaN	CTSG,ELANE,FURIN	
MAPK targets/ Nuclear events mediated by MAP kinases	1.09E00	9.09E-02	NaN	MAPK1,MAPKAPK2,MEF2C	
Sialic acid metabolism	1.09E00	9.09E-02	NaN	CTSA,NANS,ST6GAL1	
Iron homeostasis signaling pathway	1.08E00	5.52E-02	NaN	ATP6V0E1,BMP6,CIAO2A,EGF,JAK1,MAPK1,PDGFA,SMAD2	
p53 Signaling	1.07E00	6.12E-02	-1.342	CCNG1,CDKN1A,GSK3B,HIPK2,PIK3CB,THBS1	
Xenobiotic Metabolism PXR Signaling Pathway	1.07E00	4.98E-02	-1.508	ABCC3,ALDH9A1,HSP90B1,NDST1,PPM1A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SCAND1,SMOX	
Glucocorticoid Receptor Signaling	1.07E00	4.17E-02	NaN	ACTB,CDKN1A,EGF,H3-3A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HSP90B1,HSPA5,JAK1,MAPK1,NCOA2,PIK3CB,PLA2G12A,POLR2E,PRKAB2,RAF1,SERPINE1,SMAD2,SRC,TAF3,TGFB1,YWHAH	
Signal regulatory protein family interactions	1.06E00	1.25E-01	NaN	CD47,SRC	
Mevalonate Pathway I	1.06E00	1.25E-01	NaN	ACAT2,IDI1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	1.06E00	1.25E-01	NaN	BPNT2,INPP5A	
Plasma lipoprotein assembly, remodeling, and clearance	1.06E00	6.58E-02	-2.236	AP2M1,FURIN,LDLRAP1,LIPA,PCSK6	
Late endosomal microautophagy	1.06E00	8.82E-02	NaN	CHMP2A,CHMP6,VPS37B	
Wound Healing Signaling Pathway	1.05E00	4.82E-02	-2.309	COL6A3,EGF,FGF2,ITGA6,ITGB1,JAK1,MAPK1,PDGFA,PRKCA,RAF1,TGFB1,TNFSF10	
Lactose synthesis	1.04E00	3.33E-01	NaN	B4GALT1	
Metabolism of vitamin K	1.04E00	3.33E-01	NaN	VKORC1L1	
NFE2L2 regulating TCA cycle genes	1.04E00	3.33E-01	NaN	IDH1	
L-carnitine Biosynthesis	1.04E00	3.33E-01	NaN	ALDH9A1	
Serine Biosynthesis	1.04E00	3.33E-01	NaN	UBAC2	
L-cysteine Degradation III	1.04E00	3.33E-01	NaN	MPST	
4-aminobutyrate Degradation I	1.04E00	3.33E-01	NaN	ABAT	
Intrinsic Pathway for Apoptosis	1.04E00	7.27E-02	-2.000	CASP3,DYNLL2,MAPK1,YWHAH	
Sensory processing of sound by outer hair cells of the cochlea	1.04E00	7.27E-02	-2.000	ACTB,ACTG1,MYH9,MYO1C	
TEC Kinase Signaling	1.03E00	4.15E-02	-3.606	ACTB,ACTG1,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,JAK1,PIK3CB,PRKCA,PRKCB,RHOBTB1,SRC,TNFSF10,VAV3,YES1	
Oxytocin in Spinal Neurons Signaling Pathway	1.03E00	8.57E-02	NaN	GUCY1A1,GUCY1B1,OXTR	
Coagulation System	1.03E00	8.57E-02	NaN	F2R,SERPINE1,VWF	
Sumoylation Pathway	1.02E00	5.94E-02	-2.000	ARHGDIA,ISG20,MAP3K5,RHOBTB1,SENP2,SENP7	
VDR/RXR Activation	1.02E00	6.41E-02	1.000	CDKN1A,NCOA2,PDGFA,PRKCA,PRKCB	
Renal Cell Carcinoma Signaling	1.02E00	6.41E-02	NaN	EGLN3,MAPK1,PIK3CB,RAF1,TGFB1	
Thyroid Cancer Signaling	1.02E00	6.41E-02	-1.342	BRAF,GSK3B,IRS1,MAPK1,PIK3CB	
Neurotrophin/TRK Signaling	1.02E00	6.41E-02	-2.236	ATF4,MAP3K5,MAPK1,PIK3CB,RAF1	
CSDE1 Signaling Pathway	1.02E00	7.14E-02	-2.000	AGO2,CCND3,CTTN,TGFB1	
E3 ubiquitin ligases ubiquitinate target proteins	1.02E00	7.14E-02	-1.000	DERL1,HLA-A,HLA-B,RNF181	
CNTF Signaling	1.02E00	7.14E-02	-2.000	JAK1,MAPK1,PIK3CB,RAF1	
Transcriptional regulation of pluripotent stem cells	1.02E00	1.18E-01	NaN	PBX1,SMAD2	
FOXO-mediated transcription of cell cycle genes	1.02E00	1.18E-01	NaN	CDKN1A,SMAD2	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	1.02E00	1.18E-01	NaN	INPP5A,ITPKB	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1.02E00	1.18E-01	NaN	INPP5A,ITPKB	
Striated Muscle Contraction	9.99E-01	8.33E-02	NaN	TNNC2,TPM1,TPM4	
Neurexins and neuroligins	9.97E-01	7.02E-02	-2.000	APBA2,DLG4,HOMER2,STX1A	
Kinetochore Metaphase Signaling Pathway	9.93E-01	5.83E-02	1.342	ANAPC5,ARPP19,CENPT,H2AZ1,MAD2L2,PPP2R5A	
Chromatin organization	9.93E-01	4.71E-02	-1.732	ACTB,ARID1B,CHD3,GATAD2A,H3C7,H3C8,JMJD6,KANSL3,KAT6A,KMT2C,NCOA2,USP22	
IL-17A Signaling in Fibroblasts	9.86E-01	6.25E-02	-2.236	GSK3B,MAPK1,PRKCA,PRKCB,TGFB1	
Cilium Assembly	9.8E-01	4.9E-02	-3.162	DYNLL2,KIF3C,MARK4,PRKAR2B,RAB11FIP3,RAB8A,TUBA1C,TUBA4A,TUBA8,TUBB1	
Regulation of endogenous retroelements	9.78E-01	5.77E-02	-0.816	ACTB,ARID1B,BCL7C,CHD3,GATAD2A,ZCCHC8	
Cancer Drug Resistance by Drug Efflux	9.76E-01	6.9E-02	-2.000	BRAF,MAPK1,PIK3CB,RAF1	
RORA activates gene expression	9.74E-01	1.11E-01	NaN	CPT1A,NCOA2	
Gastrin-CREB signalling pathway via PKC and MAPK	9.74E-01	1.11E-01	NaN	MAPK1,PRKCA	
Formation of the nephric duct	9.74E-01	1.11E-01	NaN	FGF2,PLAC8	
Mitochondrial Fatty Acid Beta-Oxidation	9.72E-01	8.11E-02	NaN	ACOT7,DBI,HADH	
Interferon Signaling	9.72E-01	8.11E-02	NaN	IFI35,ISG15,JAK1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	9.69E-01	6.17E-02	-1.342	ADAM10,HSP90B1,JAK1,MAPK1,TGFB1	
Metabolism of water-soluble vitamins and cofactors	9.52E-01	6.1E-02	-2.236	CYB5R3,DCAKD,LDLRAP1,MTR,SLC2A3	
BEX2 Signaling Pathway	9.52E-01	6.1E-02	2.000	CDKN1A,GSK3B,PPM1L,PPP2R2D,PPP2R5A	
Sleep REM Signaling Pathway	9.49E-01	5.66E-02	-1.633	ATF4,MAPK1,PRKAR1B,PRKAR2B,TGFB1,TNFSF10	
Triglyceride metabolism	9.46E-01	7.89E-02	NaN	GPD2,LPIN1,MGLL	
Cell Cycle Regulation by BTG Family Proteins	9.46E-01	7.89E-02	NaN	PPM1L,PPP2R2D,PPP2R5A	
Notch Signaling	9.46E-01	7.89E-02	NaN	FURIN,MAML3,MFNG	
Estrogen-Dependent Breast Cancer Signaling	9.36E-01	6.02E-02	-2.236	ATF4,IGF1R,MAPK1,PIK3CB,SRC	
Signaling by Activin	9.34E-01	1.05E-01	NaN	MAPK1,SMAD2	
GABA synthesis, release, reuptake and degradation	9.34E-01	1.05E-01	NaN	ABAT,STX1A	
Aryl Hydrocarbon Receptor Signaling	9.29E-01	4.92E-02	-1.414	ALDH9A1,CCND3,CDKN1A,HSP90B1,MAPK1,NCOA2,NFIB,SRC,TGFB1	
Carnitine synthesis	9.26E-01	2.5E-01	NaN	ALDH9A1	
2-ketoglutarate Dehydrogenase Complex	9.26E-01	2.5E-01	NaN	DLST	
Spermine and Spermidine Degradation I	9.26E-01	2.5E-01	NaN	SMOX	
Coenzyme A Biosynthesis	9.26E-01	2.5E-01	NaN	DCAKD	
Methionine Salvage II (Mammalian)	9.26E-01	2.5E-01	NaN	MTR	
Proline Biosynthesis I	9.26E-01	2.5E-01	NaN	PYCR2	
Oxidized GTP and dGTP Detoxification	9.26E-01	2.5E-01	NaN	NUDT1	
Noradrenaline and Adrenaline Degradation	9.21E-01	7.69E-02	NaN	AKR1A1,ALDH9A1,SMOX	
Transport of bile salts and organic acids, metal ions and amine compounds	9.2E-01	5.95E-02	-2.236	SLC30A5,SLC39A3,SLC39A4,SLC44A2,SLC6A6	
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	9.17E-01	6.56E-02	-1.000	FN3K,FURIN,JMJD6,TPST2	
Assembly of collagen fibrils and other multimeric structures	9.17E-01	6.56E-02	-2.000	CD151,COL6A3,ITGA6,LOXL3	
Ribosomal Quality Control Signaling Pathway	9.13E-01	4.55E-02	1.508	AGO2,G3BP2,GTPBP2,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,USP10	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	8.97E-01	1E-01	NaN	ACAT2,IDI1	
Apelin Liver Signaling Pathway	8.97E-01	1E-01	NaN	GSK3B,IRS1	
Glucose metabolism	8.88E-01	5.81E-02	-1.342	ENO2,PFKP,PKM,SEC13,SLC37A1	
NCAM signaling for neurite out-growth	8.8E-01	6.35E-02	-2.000	COL6A3,FYN,MAPK1,SRC	
IL-2 Signaling	8.8E-01	6.35E-02	-2.000	JAK1,MAPK1,PIK3CB,RAF1	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	8.73E-01	4.65E-02	-2.530	CD300E,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ICAM2,ITGA2,ITGB1,TREML1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	8.68E-01	4.76E-02	-1.890	NUDT1,PAWR,PPM1K,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPRJ,SSH1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	8.68E-01	4.76E-02	-1.890	NUDT1,PAWR,PPM1K,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPRJ,SSH1	
CDC42 Signaling	8.67E-01	3.98E-02	-2.673	ARPC1B,CDC42BPA,CLIP1,DIAPH1,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IQGAP2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL9,MYLK,RAF1,SRC,WIPF1	
Sirtuin Signaling Pathway	8.65E-01	4.38E-02	-0.378	ADAM10,APP,CPT1A,GSK3B,H3-3A,LDHA,MAPK1,PPIF,TSPO,TUBA1C,TUBA4A,TUBA8,UCP2	
Citric acid cycle (TCA cycle)	8.62E-01	9.52E-02	NaN	DLST,NNT	
ERB2-ERBB3 Signaling	8.62E-01	6.25E-02	-1.000	GSK3B,MAPK1,PIK3CB,RAF1	
O-linked glycosylation	8.54E-01	5.31E-02	-2.449	B4GALT6,DAG1,GALNT10,GALNT2,ST6GAL1,THBS1	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	8.5E-01	7.14E-02	NaN	CD36,IRAK2,TAB2	
Activation of gene expression by SREBF (SREBP)	8.5E-01	7.14E-02	NaN	IDI1,NCOA2,SREBF2	
SPINK1 Pancreatic Cancer Pathway	8.44E-01	6.15E-02	1.000	CTSA,ELANE,SMAD2,TGFB1	
Transmission across Electrical Synapses	8.36E-01	2E-01	NaN	PANX1	
Signaling by MST1	8.36E-01	2E-01	NaN	SPINT2	
Reelin signalling pathway	8.36E-01	2E-01	NaN	FYN	
NFE2L2 regulating ER-stress associated genes	8.36E-01	2E-01	NaN	ATF4	
Proline Biosynthesis II (from Arginine)	8.36E-01	2E-01	NaN	PYCR2	
Pyruvate Fermentation to Lactate	8.36E-01	2E-01	NaN	LDHA	
Superpathway of Serine and Glycine Biosynthesis I	8.36E-01	2E-01	NaN	UBAC2	
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	8.36E-01	2E-01	NaN	NANS	
Myo-inositol Biosynthesis	8.36E-01	2E-01	NaN	BPNT2	
Melatonin Degradation II	8.36E-01	2E-01	NaN	SMOX	
Glutamate Degradation III (via 4-aminobutyrate)	8.36E-01	2E-01	NaN	ABAT	
NOD1/2 Signaling Pathway	8.3E-01	4.66E-02	-1.000	ERN1,HSP90B1,HSPA5,MAPK1,MAPKAPK2,MAVS,TAB2,TGFB1,TNFSF10	
BMP signaling pathway	8.29E-01	5.56E-02	-2.236	BMP6,MAPK1,PRKAR1B,PRKAR2B,RAF1	
Th2 Pathway	8.24E-01	4.96E-02	-1.890	CCR4,CD28,HLA-A,HLA-B,JAK1,PIK3CB,TGFB1	
CD40 Signaling	8.11E-01	5.97E-02	NaN	MAPK1,MAPKAPK2,PIK3CB,PTGS1	
PI3K Cascade	8.07E-01	6.82E-02	NaN	FGF2,IRS1,PIK3CB	
Amyotrophic Lateral Sclerosis Signaling	8.04E-01	5.13E-02	-1.633	CAPN1,CAPN2,CAPNS1,CASP3,GPX1,PIK3CB	
Acute Myeloid Leukemia Signaling	8.01E-01	5.43E-02	-2.000	BRAF,IDH1,MAPK1,PIK3CB,RAF1	
RAF-independent MAPK1/3 activation	7.98E-01	8.7E-02	NaN	JAK1,MAPK1	
IL-17A Signaling in Airway Cells	7.94E-01	5.88E-02	NaN	GSK3B,JAK1,MAPK1,PIK3CB	
Glutamate Receptor Signaling	7.94E-01	5.88E-02	NaN	CALM3,DLG4,GNB5,HOMER2	
Agranulocyte Adhesion and Diapedesis	7.94E-01	4.46E-02	NaN	ACTB,ACTG1,CCR4,CLDN5,ICAM2,ITGB1,MYH9,MYL9,PECAM1,SELP	
Bile acid and bile salt metabolism	7.87E-01	6.67E-02	NaN	ABCC3,NCOA2,OSBPL2	
Arachidonic acid metabolism	7.87E-01	6.67E-02	NaN	ALOX12,GPX1,MAPKAPK2	
tRNA Splicing	7.87E-01	6.67E-02	NaN	PDE2A,PDE4D,PDE5A	
Regulation of lipid metabolism by PPARalpha	7.8E-01	5.04E-02	-2.449	CD36,CPT1A,MED13,NCOA2,SIN3B,SREBF2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	7.78E-01	5.8E-02	-2.000	IRS1,JAK1,MAPK1,PIK3CB	
IL-22 Signaling	7.69E-01	8.33E-02	NaN	JAK1,MAPK1	
Putrescine Degradation III	7.69E-01	8.33E-02	NaN	ALDH9A1,SMOX	
Role of IL-17F in Allergic Inflammatory Airway Diseases	7.67E-01	6.52E-02	NaN	ATF4,MAPK1,RAF1	
3-phosphoinositide Degradation	7.66E-01	4.5E-02	-1.890	NUDT1,PAWR,PPM1K,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPRJ,SSH1	
Synthesis of Lipoxins (LX)	7.63E-01	1.67E-01	NaN	ALOX12	
Acyl-CoA Hydrolysis	7.63E-01	1.67E-01	NaN	ACOT7	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	7.63E-01	1.67E-01	NaN	MTHFD2L	
Glycerol Degradation I	7.63E-01	1.67E-01	NaN	GPD2	
Trans, trans-farnesyl Diphosphate Biosynthesis	7.63E-01	1.67E-01	NaN	IDI1	
NGF Signaling	7.57E-01	4.96E-02	-2.236	ATF4,MAP3K5,MAPK1,PIK3CB,RAF1,ROCK2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	7.52E-01	4.37E-02	NaN	BMP6,CALM3,GSK3B,ITGB3,MAP3K5,MAPK1,PIK3CB,SRC,TAB2,TGFB1	
MyD88 cascade initiated on plasma membrane	7.41E-01	8E-02	NaN	IRAK2,TAB2	
Glycogen metabolism	7.41E-01	8E-02	NaN	PHKB,PYGB	
Signaling by NTRK2 (TRKB)	7.41E-01	8E-02	NaN	FYN,SRC	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	7.35E-01	4.88E-02	-1.342	BMP6,GSK3B,JAK1,MAPK1,PIK3CB,RAF1	
D-myo-inositol-5-phosphate Metabolism	7.32E-01	4.41E-02	-1.890	NUDT1,PAWR,PPM1K,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPRJ,SSH1	
Irritable Bowel Syndrome Signaling Pathway	7.21E-01	4.15E-02	-1.155	ELANE,HERC2,MLKL,MYL9,MYLK,PIK3CB,RHOBTB1,ROCK2,TAB2,TGFB1,TNFSF10,XBP1	
Fertilization	7.15E-01	7.69E-02	NaN	B4GALT1,CD9	
Signaling by Erythropoietin	7.15E-01	7.69E-02	NaN	CRKL,PIK3CB	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	7.15E-01	7.69E-02	NaN	PI4KA,PIP5K1C	
TP53 Regulates Transcription of Cell Cycle Genes	7.11E-01	6.12E-02	NaN	ARID3A,CDKN1A,CNOT6L	
Pyruvate metabolism	7.11E-01	6.12E-02	NaN	LDHA,PDK2,PKM	
CTLA4 Signaling in Cytotoxic T Lymphocytes	7.05E-01	3.77E-02	-0.447	AP2M1,ARF1,CD28,FYN,GRAP2,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGA2,ITGB1,MAPK1,PIK3CB,PLD3,PPM1L,PPP2R2D,PPP2R5A,SRC,TGFB1,VAV3,YES1	
Senescence-Associated Secretory Phenotype (SASP)	7.04E-01	5.41E-02	-2.000	ANAPC5,CDKN1A,CDKN2D,MAPK1	
BBSome Signaling Pathway	7.04E-01	3.85E-02	-3.441	ADGRE1,CCR4,ERN1,F2R,F2RL3,GPR137,IGF1R,INVS,LEPR,LPAR5,MAPK1,OXTR,P2RY1,PRKAR1B,PRKAR2B,PTGIR,RAB8A,TBXA2R,XBP1	
Mitochondrial Uncoupling	7.03E-01	1.43E-01	NaN	UCP2	
Arginine Degradation VI (Arginase 2 Pathway)	7.03E-01	1.43E-01	NaN	PYCR2	
Glycoaminoglycan-protein Linkage Region Biosynthesis	7.03E-01	1.43E-01	NaN	XYLT2	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	6.92E-01	4.55E-02	-2.236	MAPK1,MAVS,PIK3CB,PRKCA,PRKCB,TGFB1,TNFSF10	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	6.9E-01	7.41E-02	NaN	JAK1,RAF1	
Cellular response to heat stress	6.87E-01	4.95E-02	-1.000	GSK3B,HSPA5,MAPK1,MAPKAPK2,SEC13	
Transcriptional regulation of granulopoiesis	6.77E-01	5.88E-02	NaN	CDKN1A,GATA2,TAL1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	6.69E-01	4.17E-02	-0.333	CTSA,CTSG,GSK3B,IGF1R,JAK1,MAPK1,PIK3CB,SRC,TGFB1,TNFSF10	
CDP-diacylglycerol Biosynthesis I	6.67E-01	7.14E-02	NaN	AGPAT1,CDS2	
Mouse Embryonic Stem Cell Pluripotency	6.65E-01	4.85E-02	-1.342	GSK3B,JAK1,MAPK1,PIK3CB,RAF1	
Signaling by NOTCH1	6.63E-01	5.19E-02	-2.000	ADAM10,ARRB1,HDAC5,MAML3	
TRAIL signaling	6.52E-01	1.25E-01	NaN	TNFSF10	
Miro GTPase Cycle	6.52E-01	1.25E-01	NaN	MFN2	
Formation of intermediate mesoderm	6.52E-01	1.25E-01	NaN	FGF2	
NFE2L2 regulating MDR associated enzymes	6.52E-01	1.25E-01	NaN	ABCC3	
Hypoxia Signaling in the Cardiovascular System	6.5E-01	5.13E-02	NaN	ATF4,BIRC6,HSP90B1,LDHA	
Spliceosomal Cycle	6.44E-01	5.66E-02	NaN	CTNNBL1,DHX16,EIF4A3	
Interconversion of nucleotide di- and triphosphates	6.44E-01	6.9E-02	NaN	AK2,CMPK1	
Paracetamol ADME	6.44E-01	6.9E-02	NaN	ABCC3,ABCC4	
HMGB1 Signaling	6.38E-01	4.37E-02	-2.000	KAT6A,MAPK1,PIK3CB,RHOBTB1,SERPINE1,TGFB1,TNFSF10	
IL-17 Signaling	6.29E-01	4.23E-02	-0.707	GSK3B,HSP90B1,JAK1,MAPK1,PIK3CB,TAB2,TGFB1,TNFSF10	
Activation of kainate receptors upon glutamate binding	6.22E-01	6.67E-02	NaN	DLG4,GNB5	
Glutathione Redox Reactions I	6.22E-01	6.67E-02	NaN	GPX1,PRDX6	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	6.22E-01	6.67E-02	NaN	AGPAT1,CDS2	
Amino acids regulate mTORC1	6.14E-01	5.45E-02	NaN	ATP6V0E1,LAMTOR1,SEC13	
Lymphotoxin β Receptor Signaling	6.14E-01	5.45E-02	NaN	CASP3,MAPK1,PIK3CB	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	6.13E-01	4.94E-02	-1.000	APP,ISG15,MAVS,UBA7	
Transport of inorganic cations/anions and amino acids/oligopeptides	6.11E-01	4.63E-02	-2.236	CTNS,SLC24A3,SLC6A6,SLC8A3,SLC9A1	
PPAR Signaling	6.11E-01	4.63E-02	1.342	HSP90B1,MAPK1,PDGFA,RAF1,SCAND1	
Interleukin-1 processing	6.07E-01	1.11E-01	NaN	CTSG	
RHO GTPases Activate Rhotekin and Rhophilins	6.07E-01	1.11E-01	NaN	TAX1BP3	
Lipophagy	6.07E-01	1.11E-01	NaN	PRKAB2	
Histidine Degradation III	6.07E-01	1.11E-01	NaN	MTHFD2L	
Signaling by BMP	6.02E-01	6.45E-02	NaN	FSTL1,SKI	
MyD88 dependent cascade initiated on endosome	6.02E-01	6.45E-02	NaN	IRAK2,TAB2	
Transcriptional regulation of brown and beige adipocyte differentiation	6.02E-01	6.45E-02	NaN	CHD3,GATAD2A	
Superpathway of Cholesterol Biosynthesis	6.02E-01	6.45E-02	NaN	ACAT2,IDI1	
FLT3 Signaling in Hematopoietic Progenitor Cells	6.01E-01	4.88E-02	-2.000	ATF4,MAPK1,PIK3CB,RAF1	
ISGylation Signaling Pathway	6.01E-01	4.59E-02	-1.342	ISG15,ITGA2,ITGB1,JAK1,UBA7	
TNF signaling	5.85E-01	5.26E-02	NaN	MADD,MAPKAPK2,TAB2	
PEDF Signaling	5.78E-01	4.76E-02	-1.000	MAPK1,PIK3CB,RAF1,ROCK2	
Role of IL-17A in Arthritis	5.71E-01	5.17E-02	NaN	MAPK1,MAPKAPK2,PIK3CB	
CDX Gastrointestinal Cancer Signaling Pathway	5.69E-01	4.06E-02	-0.707	BMP6,BRAF,GSK3B,JAK1,MAPK1,PIK3CB,TGFB1,TNFSF10	
Neurotransmitter clearance	5.68E-01	1E-01	NaN	SLC6A4	
