© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Th2 Pathway	3.32E-01	4.38E-02	-0.816	CCR1,CD28,HLA-A,HLA-B,PIK3CB,TGFB1	
TP53 Regulates Metabolic Genes	3.31E-01	4.55E-02	-1.000	AGO2,LAMTOR1,PRKAB2,YWHAH	
FXR/RXR Activation	3.28E-01	4.28E-02	-1.414	IL1RN,MGST1,PLTP,PRKAB2,SRC,TGFB1,TNFSF10,TNFSF13B	
Mitochondrial protein import	3.26E-01	4.69E-02	NaN	CHCHD7,COA4,GRPEL1	
Mitochondrial biogenesis	3.26E-01	4.69E-02	NaN	CALM1 (includes others),MEF2C,PRKAB2	
HOTAIR Regulatory Pathway	3.24E-01	4.29E-02	-0.816	AGO2,CDKN1A,H3-3A/H3-3B,JARID2,KMT2C,PIK3CB,TGFB1	
Neurotransmitter release cycle	3.21E-01	5E-02	NaN	STX1A,UNC13B	
Pyrimidine Ribonucleotides Interconversion	3.21E-01	5E-02	NaN	CMPK1,ENTPD7	
Caspase activation via Death Receptors in the presence of ligand	3.2E-01	6.25E-02	NaN	TNFSF10	
Rap1 signalling	3.2E-01	6.25E-02	NaN	RAF1	
Chondroitin Sulfate Degradation (Metazoa)	3.2E-01	6.25E-02	NaN	HYAL3	
Superpathway of Citrulline Metabolism	3.2E-01	6.25E-02	NaN	ASL	
Adenosine Nucleotides Degradation II	3.2E-01	6.25E-02	NaN	NT5M	
Parkinson's Signaling	3.2E-01	6.25E-02	NaN	MAPK1	
Induction of Apoptosis by HIV1	3.17E-01	4.62E-02	NaN	IKBKE,IKBKG,MAP3K5	
Pyridoxal 5'-phosphate Salvage Pathway	3.17E-01	4.62E-02	NaN	BRAF,GRK5,MAPK1	
Activation of gene expression by SREBF (SREBP)	3.1E-01	4.88E-02	NaN	IDI1,SREBF2	
Transport of vitamins, nucleosides, and related molecules	3.1E-01	4.88E-02	NaN	SLC27A4,SLC35D2	
RNA Polymerase III Transcription	3.1E-01	4.88E-02	NaN	NFIB,POLR2E	
WNT/Ca+ pathway	3.08E-01	4.55E-02	NaN	ATF4,GSK3B,PRKCA	
NER (Nucleotide Excision Repair, Enhanced Pathway)	3.07E-01	4.4E-02	1.000	DDB2,POLD3,POLR2E,XPC	
Protein methylation	3.02E-01	5.88E-02	NaN	CALM1 (includes others)	
Germ layer formation at gastrulation	3.02E-01	5.88E-02	NaN	SMAD2	
Isoleucine Degradation I	3.02E-01	5.88E-02	NaN	ACAD8	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	3.02E-01	5.88E-02	NaN	INPP5A	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	3.02E-01	5.88E-02	NaN	INPP5A	
HMGB1 Signaling	3.01E-01	4.19E-02	NaN	MAPK1,PIK3CB,RHOBTB1,SERPINE1,TGFB1,TNFSF10,TNFSF13B	
Collagen biosynthesis and modifying enzymes	2.99E-01	4.48E-02	NaN	COL10A1,COL6A3,CRTAP	
Intrinsic Prothrombin Activation Pathway	2.98E-01	4.76E-02	NaN	COL10A1,F8	
Pathogen Induced Cytokine Storm Signaling Pathway	2.89E-01	4.04E-02	1.291	BHLHE40,CCR1,COL10A1,COL6A3,IFIH1,IL1RN,IRF7,MAPK1,MLKL,PYCARD,SLC2A3,TGFB1,TNFSF10,TNFSF13B,UNC13D	
Pyrimidine Ribonucleotides De Novo Biosynthesis	2.88E-01	4.65E-02	NaN	CMPK1,ENTPD7	
Regulation of lipid metabolism by PPARalpha	2.87E-01	4.2E-02	-2.000	CD36,CPT1A,MED12,SIN3B,SREBF2	
MSP-RON Signaling in Macrophages Pathway	2.87E-01	4.2E-02	-1.342	ATF4,IKBKE,IKBKG,MAPK1,PIK3CB	
RORA activates gene expression	2.85E-01	5.56E-02	NaN	CPT1A	
Branched-chain amino acid catabolism	2.85E-01	5.56E-02	NaN	ACAD8	
Formation of definitive endoderm	2.85E-01	5.56E-02	NaN	SMAD2	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.85E-01	5.56E-02	NaN	IDI1	
Phospholipases	2.82E-01	4.35E-02	NaN	PLA2G12A,PLD3,PRDX6	
Superpathway of Melatonin Degradation	2.82E-01	4.35E-02	NaN	EXT2,MPO,SMOX	
PI3K Cascade	2.77E-01	4.55E-02	NaN	FGF2,PIK3CB	
Regulation of mRNA stability by proteins that bind AU-rich elements	2.77E-01	4.55E-02	NaN	MAPKAPK2,PRKCA	
TP53 Regulates Transcription of Cell Death Genes	2.77E-01	4.55E-02	NaN	CASP2,TMEM219	
Collagen chain trimerization	2.77E-01	4.55E-02	NaN	COL10A1,COL6A3	
MIF Regulation of Innate Immunity	2.77E-01	4.55E-02	NaN	MAPK1,PLA2G12A	
BER (Base Excision Repair) Pathway	2.77E-01	4.55E-02	NaN	E2F1,MAPK1	
TP53 Regulates Transcription of DNA Repair Genes	2.74E-01	4.29E-02	NaN	CDK12,DDB2,POLR2E	
D-myo-inositol-5-phosphate Metabolism	2.72E-01	4.04E-02	-0.816	PIP4K2C,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPN6,PTPRJ,SSH1	
NFE2L2 regulating anti-oxidant/detoxification enzymes	2.69E-01	5.26E-02	NaN	ATF4	
Purine Nucleotides Degradation II (Aerobic)	2.69E-01	5.26E-02	NaN	NT5M	
Interleukin-10 signaling	2.68E-01	4.44E-02	NaN	CCR1,IL1RN	
Nucleotide Excision Repair	2.65E-01	4.12E-02	1.000	DDB2,POLD3,POLR2E,XPC	
Salvage Pathways of Pyrimidine Ribonucleotides	2.65E-01	4.12E-02	-2.000	BRAF,CMPK1,GRK5,MAPK1	
LXR/RXR Activation	2.63E-01	4.07E-02	-2.000	CD36,CLU,HADH,IL1RN,PLTP	
IL-15 Production	2.63E-01	4.07E-02	-1.342	FYN,HCK,IGF1R,SRC,YES1	
RNA Polymerase II Transcription	2.61E-01	4.03E-02	0.816	CSTF2,DDX39A,EAF1,EIF4A3,POLR2E,TAF3	
Interleukin-2 family signaling	2.58E-01	4.35E-02	NaN	PIK3CB,PTPN6	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	2.57E-01	4.03E-02	-1.000	BMP6,GSK3B,MAPK1,PIK3CB,RAF1	
Signaling by Hippo	2.54E-01	5E-02	NaN	SAV1	
Receptor-type tyrosine-protein phosphatases	2.54E-01	5E-02	NaN	PTPRS	
Interleukin-7 signaling	2.41E-01	4.76E-02	NaN	CISH	
Regulation of TLR by endogenous ligand	2.41E-01	4.76E-02	NaN	CD36	
Nucleotide salvage	2.41E-01	4.76E-02	NaN	GMPR	
Histamine Degradation	2.41E-01	4.76E-02	NaN	ALDH9A1	
Fatty Acid α-oxidation	2.41E-01	4.76E-02	NaN	ALDH9A1	
Nonhomologous End-Joining (NHEJ)	2.32E-01	4.08E-02	NaN	BRCC3,HERC2	
Peroxisomal lipid metabolism	2.28E-01	4.55E-02	NaN	CRAT	
Assembly of RNA Polymerase II Complex	2.24E-01	4E-02	NaN	POLR2E,TAF3	
Dermatan Sulfate Biosynthesis (Late Stages)	2.24E-01	4E-02	NaN	HS2ST1,NDST1	
RAF-independent MAPK1/3 activation	2.16E-01	4.35E-02	NaN	MAPK1	
Metabolism of porphyrins	2.16E-01	4.35E-02	NaN	HMOX2	
Formation of paraxial mesoderm	2.16E-01	4.35E-02	NaN	MAML3	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.16E-01	4.35E-02	NaN	CMPK1	
IL-22 Signaling	2.05E-01	4.17E-02	NaN	MAPK1	
Ethanol Degradation IV	1.95E-01	4E-02	NaN	ALDH9A1	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	2.68E-02	-1.698	APP,ATP6AP1,ATP6V0E1,CTSA,HSPA2,HTT,IDH1,IGF1R,MAPK1,PIK3CB,PRKAB2,PSMA7,PSMB10,PSMB6,PSME2,PYCARD,RAB11B	
NFKBIE Signaling Pathway	-0E00	1.11E-02	1.342	IKBKE,IKBKG,PPP6R1,TNFSF10,TNFSF13B	
G alpha (i) signalling events	-0E00	3.49E-02	-1.667	APP,CCR1,GNAS,GNAZ,GNB5,PSAP,RGS19,RGS9,SRC	
Meiotic synapsis	-0E00	3.64E-02	NaN	HSPA2,LMNA	
Potassium Channels	-0E00	3.88E-02	-1.000	GNB5,KCNA3,KCNAB2,KCNK6	
Circadian Clock	-0E00	1.69E-02	NaN	MEF2C	
Telomere Maintenance	-0E00	1.37E-02	NaN	POLD3	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	-0E00	3.91E-02	-1.342	ETFA,NDUFAF3,SDHA,UCP2,UQCRC1	
MTOR signalling	-0E00	3.57E-02	NaN	LAMTOR1	
Complement cascade	-0E00	2.22E-02	NaN	CD46,CLU,ELANE	
SRP-dependent cotranslational protein targeting to membrane	-0E00	2.61E-02	NaN	SEC61G,SRPRA,SSR4	
Regulation of beta-cell development	-0E00	2.38E-02	NaN	MAML3	
Bile acid and bile salt metabolism	-0E00	3.23E-02	NaN	OSBPL2	
Metabolism of non-coding RNA	-0E00	1.82E-02	NaN	SEC13	
Metabolism of steroid hormones	-0E00	2.86E-02	NaN	TSPO	
Generic Transcription Pathway	-0E00	1.17E-02	-2.236	HDAC5,MAML3,MED12,NR2C2,ZNF792	
Gene Silencing by RNA	-0E00	3.16E-02	NaN	AGO2,POLR2E,SEC13	
Phase I - Functionalization of compounds	-0E00	3.92E-02	-2.000	CYB5R3,PTGS1,SMOX,TBXAS1	
PRC2 methylates histones and DNA	-0E00	2.86E-02	NaN	JARID2	
Binding and Uptake of Ligands by Scavenger Receptors	-0E00	2.68E-02	NaN	CD36,SCARF1,SPARC	
Selenoamino acid metabolism	-0E00	9.35E-03	NaN	PAPSS2	
DNA Damage/Telomere Stress Induced Senescence	-0E00	3.57E-02	NaN	CDKN1A,UBN1	
SUMOylation of DNA damage response and repair proteins	-0E00	3.95E-02	NaN	HERC2,SEC13,XPC	
SUMOylation of ubiquitinylation proteins	-0E00	2.63E-02	NaN	SEC13	
WNT ligand biogenesis and trafficking	-0E00	3.85E-02	NaN	VPS35	
Class A/1 (Rhodopsin-like receptors)	-0E00	2.84E-02	-2.333	APP,CCR1,F2R,F2RL3,OXTR,P2RY1,PSAP,PTGIR,TBXA2R	
Class B/2 (Secretin family receptors)	-0E00	2.08E-02	NaN	GNAS,GNB5	
Glyoxylate metabolism and glycine degradation	-0E00	3.57E-02	NaN	DLST	
SUMOylation of transcription cofactors	-0E00	2.27E-02	NaN	HIPK2	
G-protein beta:gamma signalling	-0E00	3.12E-02	NaN	GNB5	
SUMOylation of SUMOylation proteins	-0E00	2.94E-02	NaN	SEC13	
NoRC negatively regulates rRNA expression	-0E00	2.63E-02	NaN	SIN3B	
SUMOylation of RNA binding proteins	-0E00	2.17E-02	NaN	SEC13	
SUMOylation of DNA replication proteins	-0E00	2.22E-02	NaN	SEC13	
Myogenesis	-0E00	3.45E-02	NaN	MEF2C	
Mitochondrial translation	-0E00	3.12E-02	NaN	MRPL11,MRPL41,MRPS5	
Activation of anterior HOX genes in hindbrain during early embryogenesis	-0E00	3.7E-02	NaN	KMT2C,PBX1,POLR2E	
TNFs bind their physiological receptors	-0E00	3.45E-02	NaN	TNFSF13B	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	-0E00	3.57E-02	0.000	BRCC3,HERC2,POLD3,SLX4	
DNA Double Strand Break Response	-0E00	3.39E-02	NaN	BRCC3,HERC2	
Fanconi Anemia Pathway	-0E00	2.63E-02	NaN	SLX4	
Major pathway of rRNA processing in the nucleolus and cytosol	-0E00	1.08E-02	NaN	FTSJ3,RIOK2	
Regulation of TP53 Activity through Phosphorylation	-0E00	3.23E-02	NaN	HIPK2,PRKAB2,TAF3	
Keratinization	-0E00	1.87E-02	-2.000	CAPN1,CAPNS1,FURIN,PCSK6	
Regulation of TP53 Expression and Degradation	-0E00	2.56E-02	NaN	CCNG1	
RNA polymerase II transcribes snRNA genes	-0E00	1.2E-02	NaN	POLR2E	
mRNA Capping	-0E00	3.45E-02	NaN	POLR2E	
Processing of Capped Intron-Containing Pre-mRNA	-0E00	3.14E-02	2.333	CSTF2,CTNNBL1,DDX39A,DHX16,EIF4A3,POLR2E,RBM10,SART1,SEC13	
Eukaryotic Translation Initiation	-0E00	8.2E-03	NaN	EIF2B1	
Processing of Capped Intronless Pre-mRNA	-0E00	3.45E-02	NaN	CSTF2	
Nucleosome assembly	-0E00	2.04E-02	NaN	CENPT	
Signaling by PTK6	-0E00	3.64E-02	NaN	ARHGAP35,EGF	
Protein ubiquitination	-0E00	3.33E-02	NaN	UBE2E3	
Transcriptional Regulation by VENTX	-0E00	2.5E-02	NaN	ANAPC5	
Interleukin-20 family signaling	-0E00	3.85E-02	NaN	STAT2	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	-0E00	2.78E-02	NaN	CDKN1A	
ESR-mediated signaling	-0E00	2.54E-02	NaN	AGO2,MAPK1,POLR2E	
Peroxisomal protein import	-0E00	3.17E-02	NaN	CRAT,IDH1	
Nonsense-Mediated Decay (NMD)	-0E00	1.71E-02	NaN	EIF4A3,SMG7	
Response of EIF2AK4 (GCN2) to amino acid deficiency	-0E00	1.94E-02	NaN	ATF4,CEBPG	
Signaling by CSF3 (G-CSF)	-0E00	3.33E-02	NaN	HCK	
Cytoprotection by HMOX1	-0E00	3.23E-02	NaN	HMOX2,SIN3B	
Heme signaling	-0E00	2.13E-02	NaN	MEF2C	
Retinoid metabolism and transport	-0E00	2.27E-02	NaN	LRP8	
GABA receptor activation	-0E00	1.67E-02	NaN	GNB5	
BBSome Signaling Pathway	-0E00	3.48E-02	-2.183	CCR1,CCT7,ERN1,F2R,F2RL3,GPR137,IGF1R,INVS,LEPR,MAPK1,OXTR,P2RY1,PRKAR1B,PRKAR2B,PTGIR,TBXA2R,XBP1	
TREM1 Signaling	-0E00	3.9E-02	NaN	ITGB1,MAPK1,MPO	
Role of NFAT in Regulation of the Immune Response	-0E00	2.13E-02	-3.300	CALM1 (includes others),CD28,FCGR2A,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,HLA-A,HLA-B,IKBKE,IKBKG,ITPR1,ITPR2,MAPK1,MEF2C,ORAI1,PIK3CB,RAF1	
FcγRIIB Signaling in B Lymphocytes	-0E00	5.65E-03	NaN	ITPR1,ITPR2,PIK3CB	
CCR5 Signaling in Macrophages	-0E00	2.4E-02	-2.236	CALM1 (includes others),GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITPR1,ITPR2,MAPK1,PRKCA,PRKCB	
Calcium-induced T Lymphocyte Apoptosis	-0E00	2.39E-02	-3.162	ATP2A2,ATP2A3,CALM1 (includes others),CAPN2,HLA-A,HLA-B,ITPR1,ITPR2,ORAI1,PRKCA,PRKCB	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	1.18E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
IL-17 Signaling	-0E00	3.74E-02	-0.378	GSK3B,MAPK1,PIK3CB,TAB2,TGFB1,TNFSF10,TNFSF13B	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	3.95E-02	-0.209	AP2B1,AP2M1,ARF1,CD28,FYN,GRAP2,GSK3B,HCK,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGB1,MAPK1,PIK3CB,PLD3,PPM1L,PPP2R2D,PPP2R5A,SRC,TGFB1,VAV3,YES1	
T Helper Cell Differentiation	-0E00	8.49E-03	NaN	CD28,HLA-A,HLA-B,TGFB1	
CD28 Signaling in T Helper Cells	-0E00	2.51E-02	-2.714	ARPC1B,CALM1 (includes others),CD28,FYN,GRAP2,HLA-A,HLA-B,IKBKE,IKBKG,ITPR1,ITPR2,PIK3CB,PTPN6	
IL-15 Signaling	-0E00	5.7E-03	NaN	MAPK1,PIK3CB,RAF1	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	3.7E-02	NaN	IL1RN,TGFB1	
Dendritic Cell Maturation	-0E00	2.52E-02	-2.840	ATF4,COL10A1,FCGR2A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IKBKE,IKBKG,IL1RN,LEPR,MAPK1,PIK3CB,STAT2	
Cardiomyocyte Differentiation via BMP Receptors	-0E00	3.7E-02	NaN	MEF2C	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	2.17E-02	-2.121	CALM1 (includes others),CD28,GRAP2,HLA-A,HLA-B,IKBKE,IKBKG,ITPR1,ITPR2,PIK3CB,PLEKHA4	
Lipid Antigen Presentation by CD1	-0E00	7.23E-03	NaN	AP2B1,AP2M1,PSAP	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	2.53E-02	NaN	APOL6,UCP2	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	2.17E-02	NaN	JARID2	
Type I Diabetes Mellitus Signaling	-0E00	1.96E-02	-1.000	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IKBKE,IKBKG,MAP3K5,MAPK1	
Basal Cell Carcinoma Signaling	-0E00	2.78E-02	NaN	BMP6,GSK3B	
Allograft Rejection Signaling	-0E00	1.23E-02	NaN	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
Autoimmune Thyroid Disease Signaling	-0E00	1.31E-02	NaN	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
Graft-versus-Host Disease Signaling	-0E00	1.57E-02	NaN	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IL1RN	
p70S6K Signaling	-0E00	2.25E-02	-2.111	F2R,F2RL3,GNAQ,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKCA,PRKCB,RAF1,SRC,YWHAH	
G Protein Signaling Mediated by Tubby	-0E00	1.71E-02	-2.828	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GRAP2,VAV3	
Communication between Innate and Adaptive Immune Cells	-0E00	8.58E-03	NaN	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IL1RN,TNFSF13B	
Systemic Lupus Erythematosus Signaling	-0E00	1.31E-02	NaN	CD28,CD2BP2,FCGR2A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IL1RN,MAPK1,PIK3CB,PTPN6,SART1,TNFSF13B	
CDC42 Signaling	-0E00	3.82E-02	-2.496	ARPC1B,CDC42BPA,CLIP1,DIAPH1,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL6,MYL9,MYLK,RAF1,SRC,WIPF1	
FAK Signaling	-0E00	3.36E-02	-3.550	AGO2,ARHGAP35,ARPC1B,CAPN1,CAPN11,CAPN2,CAPNS1,CCR1,COL10A1,CRKL,EGF,ELF4,ELK3,F2R,F2RL3,FYN,GPR137,GSK3B,IGF1R,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,NCK2,OXTR,P2RY1,PIK3CB,PTGIR,RAF1,SRC,TBXA2R,TGFB1,WIPF1	
Retinoic acid Mediated Apoptosis Signaling	-0E00	3.33E-02	NaN	PARP10,TNFSF10	
Phospholipase C Signaling	-0E00	2.86E-02	-4.472	ARHGEF12,ATF4,CALM1 (includes others),FCGR2A,FYN,GNA13,GNAQ,GNAS,GNB5,GRAP2,GUCY1A1,GUCY1B1,HDAC5,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,ITPR1,ITPR2,MAPK1,MEF2C,MYL6,MYL9,PLA2G12A,PLD3,PPP1R14A,PRKCA,PRKCB,RAF1,RHOBTB1,SRC	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	6.4E-03	NaN	CD28,HLA-A,HLA-B,IL1RN,TGFB1,TNFSF13B	
B Cell Development	-0E00	4.1E-03	NaN	HLA-A,HLA-B	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	2.16E-02	-1.265	CALM1 (includes others),CD28,FYN,IKBKE,IKBKG,MAPK1,RAF1,SMAD2,TGFB1,VAV3	
Granzyme A Signaling	-0E00	2.7E-02	NaN	F2R,MBP	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	1.28E-02	NaN	GSK3B	
NUR77 Signaling in T Lymphocytes	-0E00	2.53E-02	-1.414	CALM1 (includes others),CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,MAPK1,PDK1,PRKCA,PRKCB,SIN3B,TNFSF10	
PKCθ Signaling in T Lymphocytes	-0E00	2.33E-02	-2.714	CD28,FYN,GRAP2,HLA-A,HLA-B,IKBKE,IKBKG,ITPR1,ITPR2,MAP3K5,MAPK1,PIK3CB,VAV3	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	1.17E-02	-0.447	CD28,MAPK1,RPS6KA1,SMAD2,TGFB1	
OX40 Signaling Pathway	-0E00	1.05E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
PI3K Signaling in B Lymphocytes	-0E00	2.55E-02	-2.138	ATF4,ATF5,CALM1 (includes others),FYN,IKBKE,IKBKG,ITPR1,ITPR2,MAPK1,PIK3AP1,PIK3CB,PLEKHA4,PRKCB,RAF1,VAV3	
Cell Cycle Control of Chromosomal Replication	-0E00	1.79E-02	NaN	CDK12	
IL-17A Signaling in Gastric Cells	-0E00	3.85E-02	NaN	MAPK1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	-0E00	3.8E-02	NaN	ADAM10,MAPK1,TGFB1	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-0E00	2.9E-02	NaN	MAPK1,PIK3CB	
Mouse Embryonic Stem Cell Pluripotency	-0E00	3.85E-02	-1.000	GSK3B,MAPK1,PIK3CB,RAF1	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	2.38E-02	NaN	EXT2	
Nicotine Degradation III	-0E00	1.67E-02	NaN	EXT2	
tRNA Splicing	-0E00	2.17E-02	NaN	PDE2A	
Melatonin Degradation I	-0E00	1.56E-02	NaN	EXT2	
NAD Salvage Pathway II	-0E00	3.7E-02	NaN	NT5M	
Glutathione-mediated Detoxification	-0E00	2.63E-02	NaN	MGST1	
tRNA Charging	-0E00	2.56E-02	NaN	WARS1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	3.85E-02	-1.342	PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPN6,PTPRJ,SSH1	
Nicotine Degradation II	-0E00	1.47E-02	NaN	EXT2	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	3.85E-02	-1.342	PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPN6,PTPRJ,SSH1	
3-phosphoinositide Degradation	-0E00	3.63E-02	-1.342	PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPN6,PTPRJ,SSH1	
Triacylglycerol Biosynthesis	-0E00	3.57E-02	NaN	AGPAT1,GPAT4	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	3.77E-02	NaN	HS2ST1,NDST1	
Oxidative Ethanol Degradation III	-0E00	1.79E-02	NaN	ALDH9A1	
Superpathway of Cholesterol Biosynthesis	-0E00	3.45E-02	NaN	IDI1	
Inhibition of Matrix Metalloproteases	-0E00	2.56E-02	NaN	ADAM10	
Granulocyte Adhesion and Diapedesis	-0E00	3.7E-02	NaN	CCR1,CLDN5,ICAM2,IL1RN,ITGB1,PECAM1,SELP	
Oxidative Phosphorylation	-0E00	2.68E-02	NaN	ATPAF1,SDHA,UQCRC1	
PCP (Planar Cell Polarity) Pathway	-0E00	1.67E-02	NaN	VANGL1	
SAPK/JNK Signaling	-0E00	1.39E-02	-2.449	CRKL,GNA13,GNB5,MAP3K5,MAP4K2,MINK1,PIK3CB	
IL-4 Signaling	-0E00	1.39E-02	-2.121	ATF4,COL10A1,COL6A3,MAPK1,PIK3CB,PTPN6,RPS6KA1,TGFB1	
B Cell Receptor Signaling	-0E00	2.37E-02	-2.138	ATF4,CALM1 (includes others),FCGR2A,GSK3B,IKBKE,IKBKG,MAP3K5,MAPK1,MEF2C,PIK3AP1,PIK3CB,PRKCB,PTPN6,RAF1,VAV3	
NF-κB Signaling	-0E00	1.93E-02	-2.111	BRAF,EGF,GSK3B,IGF1R,IKBKG,IL1RN,PIK3CB,PRKCB,RAF1,TAB2,TNFSF13B	
Hypoxia Signaling in the Cardiovascular System	-0E00	3.95E-02	NaN	ATF4,BIRC6,UBE2E3	
T Cell Receptor Signaling	-0E00	3.08E-02	-3.300	CALM1 (includes others),CD28,FYN,GRAP2,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IKBKE,IKBKG,ITGB1,MAPK1,PDK1,PIK3CB,PTPN6,RAF1,VAV3	
Th1 and Th2 Activation Pathway	-0E00	3.49E-02	NaN	CCR1,CD28,HLA-A,HLA-B,PIK3CB,TGFB1	
Th1 Pathway	-0E00	3.28E-02	-2.000	CD28,HLA-A,HLA-B,PIK3CB	
Th17 Activation Pathway	-0E00	2.07E-03	NaN	IRAK2	
T Cell Exhaustion Signaling Pathway	-0E00	3E-02	0.000	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,MAPK1,MGAT5,PDK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PTPN6,SMAD2,STAT2,TGFB1	
IL-23 Signaling Pathway	-0E00	2.17E-02	NaN	PIK3CB	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00	3.27E-02	-3.130	ATF4,CASP2,CD28,GNA13,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITPR1,LEPR,MAPK1,ORAI1,PDK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RHOBTB1,STIM1,YES1	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00	3.6E-02	0.000	CALM1 (includes others),CCND3,FCGR2A,FYN,GSK3B,HCK,IFIH1,IFIT2,IFIT3,IRF7,ISG15,ISG20,MAPK1,MAVS,PIK3AP1,PIK3CB,PRKCA,PRKCB,PTPN6,RAF1,SRC,STAT2,TGFB1,TNFSF10,TNFSF13B,YES1	
Xenobiotic Metabolism AHR Signaling Pathway	-0E00	3.45E-02	NaN	ALDH9A1,HDAC5,MGST1	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	-0E00	1.15E-02	NaN	GSK3B	
Complement System	-0E00	2.7E-02	NaN	CD46	
